Login,Traces #1,Traces #2,Final Traces
,17,7.16,12.38
,15,12,20
,7.5,3.16,18.1
,,14.53,20
,16.5,7.16,19.24
,18,6.42,10.95
,,,4.51
,0,13.68,19.62
,20,16.84,19.05
,17,16,17.02
,4,1.11,14.1
,0,0,2.67
,15.5,13.68,19.43
,9.5,4.26,11.05
,9,7.63,12.95
,,18.32,17.71
,20,12.84,18.03
,,7.05,12.95
,17,19.3,20
,10.5,11.68,14.76
,2.5,2.11,17.27
,0,4.26,3.86
,,13.68,16.83
,15,10.49,14.1
,0,0,0
,20,16.91,18.22
,,,0.38
,,,5.71
,,,15.56
,,18.6,19.24
,17,18.6,19.43
,,1.05,14.29
,0,6.42,19.43
,,9.05,12.57
,20,20,19.43
,,,0
,13.5,10.63,14.7
,,2.11,14.89
,,14.91,13.24
,,,0
,0.5,13.68,16.51
,,,2.81
,20,10,18.67
,,0,12.05
,,0,0
,20,11.16,15.37
,15,16.91,16.95
,0,1.05,9.71
,20,14.39,18.41
,,,1.9
,0,0,13.33
,14,16,18.41
,17,18.04,19.43
,,9.68,20
,,,12.95
,2.12,10.81,16.44
,20,12.84,12.19
,17,13.61,15.56
,8,17.47,16.76
,19.5,13.47,13.71
,19.62,16.91,18.03
,17,12.42,15.24
,0.5,8.21,10.67
,20,20,19.24
,,,9.21
,20,19.3,19.05
,17,12.42,15.75
,17,13.68,13.71
,20,16.21,20
,5.62,3.63,10.71
,20,13.68,20
,,,7.19
,,,0.95
,4,1.68,11.81
,7.12,11.79,13.59
,,,0
,,,0
,,7.63,12.57
,,,9.57
,2,0.84,0.76
,13.62,17.26,17.21
,,8.21,20
,,5.05,10.22
,0,0,6.48
,9,7.79,7.43
,0.25,0.11,3.62
,5,9.47,18.22
,6,2.53,9.52
,,,1.71
,,,0
,20,13.68,17.78
,,,6.98
,0,0,8.57
,20,19.3,16.51
,6.5,13.12,18.22
,,0,11.05
,9,10.74,16.7
,,16.56,16.51
,0,12.63,12
,,4,0
,14,12.21,12.76
,17,10.95,13.33
,,,12
,,5.05,17.59
,,,4.48
,,,2.67
,17,20,19.43
,2,6.35,17.08
,,,4.71
,12.62,13.68,17.9
,17,12.42,18.41
,18,8.11,16.19
,,3.16,3.24
,,1.89,13.33
,,,9.19
,,12.26,17.97
,0,4,11.62
,,1.05,0.95
,2,0.84,0.95
,20,20,19.43
,,9.79,15.43
,20,13.68,18.41
,0,8.42,19.81
,,,9.33
,,,18.48
,5,2.11,6.48
,0,11.93,16.95
,,,0
,,,12.63
,,13.68,13.52
,,0.05,0.95
,20,18.32,19.43
,,,15.54
,20,15.37,18.22
,0,15.3,18.41
,2.5,8.68,10.62
,17,12.42,14.1
,20,13.96,17.08
,15.12,6.37,15.22
,3,0.11,10.86
,,,16.13
,,6.32,12
,,,1.19
,0,13.68,12.95
,14.5,10.95,17.14
,9.5,4,11.05
,17,15.26,20
,19,13.68,10.95
,,,14.6
,,9.05,15.05
,20,13.68,19.43
,,0,4
,20,18.6,19.43
,,12.77,15.24
,,1.95,0
,,0,10.67
,,,0
,7.12,15.23,18.03
,,,0
,,,0
,3.12,1.32,15.98
,5,11.37,13.33
,,,13.54
,12,16.21,15.43
,0,0,9.33
,,,8.29
,,8.42,16.7
,,,15.81
,0,11.02,17.52
,15,18,19.43
,0.25,0,11.43
,15.38,6.89,12.52
,20,17.26,19.05
,20,20,19.81
,,,18.67
,2.5,7.26,13.14
,16,12.14,15.05
,20,12.84,17.08
,5,13.68,12.76
,20,18.6,20
,20,14.53,19.24
,,,10.48
,17,18.74,17.52
,,,17.08
,,,6.95
,,,4.67
,17.5,11.68,17.78
,0,9.74,12
,18,11.68,19.81
,20,14.53,13.9
,20,17.26,19.43
,,0,0.48
,,,0.95
,0,0,12.76
,,,0
,,13.47,18.86
,1,11.16,14.86
,,,16.37
,17,16.91,16.13
,19,13.47,15.81
,7,9.26,14.48
,,,9.05
,20,18.6,18.41
,,0,16.89
,5,11.84,18.22
,20,20,19.43
,,,0
,14.62,5,4.71
,,0,0
,17,12,18.86
,,7.16,12.95
,13,9.63,15.27
,,,0
,9.5,7.21,11.51
,,,0
,20,20,19.81
,,16,15.56
,12,10.95,13.14
,,,5.33
,,0,8
,,,17.08
,15.12,6.37,6.52
,20,19.3,19.81
,13,10.63,13.9
,20,18.46,19.05
,,,3.57
,20,9.47,0
,9.5,13.68,12
,,3.79,13.9
,,6.95,15.75
,10,4.21,11.05
,6.5,2.74,9.22
,0,14.25,17.59
,,,0
,5,8.42,16.89
,,,0
,,,15.49
,20,11.68,18.41
,17,19.3,20
,,3.16,16.38
,9.5,13.68,16.89
,17,12.42,11.81
,0,6.56,18.86
,,0,13.19
,,,11.78
,,,12.95
,7.5,13.68,19.43
,,12.63,19.81
,20,13.68,13.33
,,0,0
,,,0
,,,0
,0,0,17.57
,12,9.47,19.81
,20,13.68,12.57
,2.5,4,4
,,0.21,10.48
,20,17.89,17.4
,15.5,19.3,14.1
,,,16.51
,20,0,0
,,,11.29
,0,0,10.48
,,,13.97
,19.5,12.42,16.76
,20,13.68,18.67
,20,14.88,18.86
,0,2.05,18.86
,,,17.27
,18,7.58,7.62
,19.62,16.75,20
,20,9.96,11.24
,0,10.21,18.41
,,10.58,13.14
,20,16.91,20
,,,10.67
,5,8.95,16.89
,8,0,0
,17,0,19.05
,20,13.68,19.81
,20,20,20
,17,15.79,20
,20,13.68,12.95
,,,7
,,8.42,12.76
,,,0
,13.5,7.42,12.76
,20,16.91,18.41
,,18.46,17.46
,,,13.08
,20,13.68,12.95
,,,9.62
,8.12,10.51,18.22
,,14.74,19.62
,,,16.95
,10.12,12.05,13.63
,,,12.95
,,,12
,,,0
,,0,15.81
,20,13.68,20
,,,9.67
,19,19.3,18.41
,14.5,10.53,11.14
,20,16.56,19.24
,20,13.68,16.51
,,,0.95
,20,17.26,19.24
,,,0
,,4,13.71
,,,5.9
,10,5.26,0
,,,0
,17,10.32,16.51
,,,16.7
,,0,10
,14.62,17.53,17.27
,,,15.11
,,17.26,19.81
,0.5,19.3,18.22
,16.5,13.68,18.41
,17,13.68,15.3
,17,18.95,18.22
,15.12,17.81,20
,13.12,12.89,17.59
,0,11.63,13.14
,16.12,4.79,15.17
,18.5,11.68,15.24
,0,5.05,11.05
,,12.89,12.05
,,19,19.81
,,,0
,2.5,8.32,11.14
,,,0.19
,,0,17.27
,15,20,19.62
,7.5,15,16.62
,,0.05,12.95
,20,16.21,16.51
,,,11.81
,,,5.67
,,10.37,12
,15.12,10.39,16
,19.5,13.68,20
,20,17.89,17.14
,2.5,1.05,12
,20,10.32,17.59
,,14.53,16.7
,15.12,10.58,20
,20,8.42,17.4
,20,16.84,19.43
,2.5,12.42,13.65
,,,15.62
,0,0,17.16
,0,13.68,19.24
,10,16.21,18.41
,0,10.84,11.14
,17,16.21,18.86
,,,12.19
,20,20,19.24
,,16.42,16.19
,,0,5.9
,16.5,16.21,19.81
,17.12,14.09,18.41
,,7.37,17.9
,20,8.42,15.37
,20,12.84,19.62
,,15.67,20
,,7.16,16.76
,,,12.95
,0,0.89,1.9
,1.5,13.68,13.14
,15.12,0,14.33
,,,11.62
,,12.32,11.9
,0,0,8.14
,20,20,19.05
,11.5,9.58,14.98
,,,0
,,,19.81
,15.12,15.42,19.49
,,,5.33
,,,0
,,12.42,17.78
,19,7.42,0
,,,0
,20,14.53,19.05
,20,0,18.03
,8.62,16.7,12.44
,,,17.46
,18,20,20
,,,1.71
,20,16.56,17.97
,,,6.1
,,12.63,12.95
,13.5,13.68,16.7
,,,11.81
,,,0
,20,12.84,16.57
,17,13.47,14.92
,18,13.82,17.59
,18.12,20,19.81
,,,0
,20,16.21,15.24
,17,17.89,18.03
,,17.26,19.81
,,2.11,7.81
,,,0
,,0,17.05
,17,16.56,15.87
,,,0
,19,18.6,19.43
,,0,8.51
,0,0,11.43
,,10.53,12.95
,17.62,6.26,12.62
,20,12.63,0
,,,0
,0,12.47,20
,,,5.22
,,12,13.33
,,,18.41
,17,12.63,14.48
,,,18.29
,,1.05,4.24
,17,7.16,8.95
,,0,16.19
,17,16.21,19.43
,,,16.7
,17,16.21,16.7
,17,16.56,20
,20,20,19.24
,,10.53,16.95
,,0,0
,16,12.42,20
,,10.95,17.97
,20,13.19,13.78
,,,12.19
,,4,13.52
,10.5,11.58,12.95
,10,7.79,16.89
,5.5,8.77,16.13
,,,6.1
,15,20,19.24
,12.5,10.95,12.95
,17,16.56,19.81
,,,0
,,,17.52
,20,8.42,15.11
,20,18.6,15.81
,18,16.21,19.43
,0,6.16,7.95
,0,0.42,0
,,11.58,13.33
,,13.09,17.02
,20,18.04,19.24
,20,20,20
,,,0.95
,,,11.56
,,2.11,15.81
,,,2.05
,0,16.61,19.62
,2,0.84,19.62
